"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"На странице скролим до вопроса с необходимым номером и кликаем на него, а затем проверяем что необходимый ответ с тем же номером появился","72","Проверка появления ответа из выпадающего списка ""Вопросы о важном"" при нажатии на вопрос №4","tests","2026-06-04","passed","2026-06-04","TestDropdownList","test_dropdown_list","",""
"На странице скролим до вопроса с необходимым номером и кликаем на него, а затем проверяем что необходимый ответ с тем же номером появился","69","Проверка появления ответа из выпадающего списка ""Вопросы о важном"" при нажатии на вопрос №3","tests","2026-06-04","passed","2026-06-04","TestDropdownList","test_dropdown_list","",""
"Тест проверяет полный цикл заказа самоката через ВЕРХНЮЮ кнопку","2420","Заказ самоката через ВЕРХНЮЮ кнопку ""Заказать""","tests","2026-06-04","passed","2026-06-04","TestOrderScooter","test_order_scooter","",""
"На странице скролим до вопроса с необходимым номером и кликаем на него, а затем проверяем что необходимый ответ с тем же номером появился","67","Проверка появления ответа из выпадающего списка ""Вопросы о важном"" при нажатии на вопрос №5","tests","2026-06-04","passed","2026-06-04","TestDropdownList","test_dropdown_list","",""
"На странице скролим до вопроса с необходимым номером и кликаем на него, а затем проверяем что необходимый ответ с тем же номером появился","67","Проверка появления ответа из выпадающего списка ""Вопросы о важном"" при нажатии на вопрос №7","tests","2026-06-04","passed","2026-06-04","TestDropdownList","test_dropdown_list","",""
"На странице скролим до вопроса с необходимым номером и кликаем на него, а затем проверяем что необходимый ответ с тем же номером появился","70","Проверка появления ответа из выпадающего списка ""Вопросы о важном"" при нажатии на вопрос №8","tests","2026-06-04","passed","2026-06-04","TestDropdownList","test_dropdown_list","",""
"На странице скролим до вопроса с необходимым номером и кликаем на него, а затем проверяем что необходимый ответ с тем же номером появился","581","Проверка появления ответа из выпадающего списка ""Вопросы о важном"" при нажатии на вопрос №1","tests","2026-06-04","passed","2026-06-04","TestDropdownList","test_dropdown_list","",""
"На странице скролим до вопроса с необходимым номером и кликаем на него, а затем проверяем что необходимый ответ с тем же номером появился","70","Проверка появления ответа из выпадающего списка ""Вопросы о важном"" при нажатии на вопрос №2","tests","2026-06-04","passed","2026-06-04","TestDropdownList","test_dropdown_list","",""
"Тест проверяет переход на главную страницу сервиса нажатием по логотипу ""Самокат"" на странице оформления заказа","108","Проверка перехода на главную страницу Яндекс Самокат","tests","2026-06-04","passed","2026-06-04","TestTransitions","test_transitions","",""
"Тест проверяет полный цикл заказа самоката через НИЖНЮЮ кнопку","2940","Заказ самоката через НИЖНЮЮ кнопку ""Заказать""","tests","2026-06-04","passed","2026-06-04","TestOrderScooter","test_order_scooter","",""
"Тест проверяет переход на страницу Яндекс Дзен нажатием по логотипу ""Яндекс"" на главной странице сервиса","1066","Проверка перехода на страницу Яндекс Дзен","tests","2026-06-04","passed","2026-06-04","TestTransitions","test_transitions","",""
"На странице скролим до вопроса с необходимым номером и кликаем на него, а затем проверяем что необходимый ответ с тем же номером появился","67","Проверка появления ответа из выпадающего списка ""Вопросы о важном"" при нажатии на вопрос №6","tests","2026-06-04","passed","2026-06-04","TestDropdownList","test_dropdown_list","",""
